Nome Comum,Nome Científico,Detecções,Chamadas
Acauã,Herpetotheres cachinnans,1,1
Alegrinho,Serpophaga subcristata,7,7
Andorinha-Azul,Progne subis,2,2
Andorinha-Do-Campo,Progne tapera,1,1
Andorinha-Pequena-De-Casa,Pygochelidon cyanoleuca,3,3
Anhuma,Anhima cornuta,1,1
Anu-Coroca,Crotophaga major,1,1
Arapaçu-Bico-De-Cunha,Glyphorynchus spirurus,1,1
Arapaçu-De-Garganta-Amarela/Arapaçu-De-Lafresnaye,Xiphorhynchus guttatus,4,4
Arapaçu-Grande,Dendrocolaptes platyrostris,7,7
Araponga,Procnias nudicollis,1,1
Arara-Canindé,Ara ararauna,15,15
Aratinga-De-Testa-Azul,Thectocercus acuticaudatus,4,4
Ariramba-De-Cauda-Ruiva,Galbula ruficauda,33,33
Azulão,Cyanoloxia brissonii,1,1
Bacurau,Nyctidromus albicollis,3,3
Bacurau-De-Asa-Fina,Chordeiles acutipennis,10,10
Bacurau-De-Cauda-Barrada,Nyctiprogne leucopyga,1,1
Bacurau-Norte-Americano,Chordeiles minor,23,23
Bacurau-Tesoura,Hydropsalis torquata,51,51
Baiano,Sporophila nigricollis,588,588
Balança-Rabo-De-Chapéu-Preto/De-Roraima/Do-Acre/Do-Nordeste,Polioptila plumbea,3,3
Balança-Rabo-De-Máscara,Polioptila dumicola,17,17
Bandoleta,Cypsnagra hirundinacea,2,2
Barbudo-Rajado/Rajado-Pequeno,Malacoptila striata,3,3
Barulhento,Euscarthmus meloryphus,1,1
Batuiruçu-De-Axila-Preta,Pluvialis squatarola,2,2
Batuíra-De-Bando,Charadrius semipalmatus,1,1
Beija-Flor-De-Papo-Branco,Leucochloris albicollis,1,1
Beija-Flor-De-Peito-Azul,Chionomesa lactea,4,4
Beija-Flor-Preto,Florisuga fusca,1,1
Beija-Flor-Roxo,Chlorestes cyanus,2,2
Beija-Flor-Tesoura,Eupetomena macroura,1,1
Bem-Te-Vi,Pitangus sulphuratus,1415,1415
Bem-Te-Vi-Pirata,Legatus leucophaius,9,9
Bem-Te-Vi-Rajado,Myiodynastes maculatus,1,1
Bentevizinho-De-Asa-Ferrugínea,Myiozetetes cayanensis,1,1
Bentevizinho-De-Penacho-Vermelho,Myiozetetes similis,1,1
Besourinho-De-Bico-Vermelho,Chlorostilbon lucidus,1,1
Bico-Chato-Amarelo,Tolmomyias flaviventris,1,1
