Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Alegrinho,Serpophaga subcristata,7,7,0.977
Andorinha-Azul,Progne subis,1,1,0.267
Andorinha-Pequena-De-Casa,Pygochelidon cyanoleuca,2,2,0.436
Arapaçu-De-Garganta-Amarela/Arapaçu-De-Lafresnaye,Xiphorhynchus guttatus,4,4,0.276
Araponga,Procnias nudicollis,1,1,0.227
Arara-Canindé,Ara ararauna,2,2,0.532
Aratinga-De-Testa-Azul,Thectocercus acuticaudatus,3,3,0.487
Ariramba-De-Cauda-Ruiva,Galbula ruficauda,32,32,0.877
Azulão,Cyanoloxia brissonii,1,1,0.212
Bacurau,Nyctidromus albicollis,2,2,0.289
Bacurau-De-Asa-Fina,Chordeiles acutipennis,1,1,0.57
Bacurau-Norte-Americano,Chordeiles minor,13,13,0.871
Baiano,Sporophila nigricollis,6,6,0.463
Balança-Rabo-De-Máscara,Polioptila dumicola,5,5,0.542
Barbudo-Rajado/Rajado-Pequeno,Malacoptila striata,3,3,0.29
Batuiruçu-De-Axila-Preta,Pluvialis squatarola,2,2,0.316
Batuíra-De-Bando,Charadrius semipalmatus,1,1,0.22
Bem-Te-Vi,Pitangus sulphuratus,917,917,0.991
Bem-Te-Vi-Pirata,Legatus leucophaius,1,1,0.26
Bem-Te-Vi-Rajado,Myiodynastes maculatus,1,1,0.318
Bentevizinho-De-Asa-Ferrugínea,Myiozetetes cayanensis,1,1,0.249
Besourinho-De-Bico-Vermelho,Chlorostilbon lucidus,1,1,0.225
Bico-Chato-De-Orelha-Preta,Tolmomyias sulphurescens,12,12,0.639
Bico-Grosso,Saltator maxillosus,3,3,0.317
Black-Banded Owl,Ciccaba huhula,116,116,0.714
Borralhara,Mackenziaena severa,16,16,0.955
Borralhara-Assobiadora,Mackenziaena leachii,9,9,0.832
Cabecinha-Castanha,Thlypopsis pyrrhocoma,16,16,0.54
Caboclinho-De-Papo-Branco,Sporophila palustris,3,3,0.34
