Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Andorinha-Azul,Progne subis,1,1,0.546
Ariramba-De-Cauda-Ruiva,Galbula ruficauda,1,1,0.667
Bacurau-Norte-Americano,Chordeiles minor,1,1,0.225
Baiano,Sporophila nigricollis,9,9,0.688
Beija-Flor-De-Peito-Azul,Chionomesa lactea,4,4,0.543
Beija-Flor-Roxo,Chlorestes cyanus,2,2,0.319
Bem-Te-Vi,Pitangus sulphuratus,24,24,0.666
Bem-Te-Vi-Pirata,Legatus leucophaius,1,1,0.381
Bico-Chato-Amarelo,Tolmomyias flaviventris,1,1,0.255
Black-Banded Owl,Ciccaba huhula,3,3,0.275
Borboletinha-Do-Mato,Phylloscartes ventralis,1,1,0.203
Cabecinha-Castanha,Thlypopsis pyrrhocoma,2,2,0.234
Cambacica,Coereba flaveola,66,66,0.969
Canário-Da-Terra,Sicalis flaveola,2,2,0.308
Cara-Dourada,Phylloscartes roquettei,1,1,0.441
Choca-Barrada/Choca-Barrada-Do-Nordeste,Thamnophilus doliatus,2,2,0.55
Choquinha-De-Flanco-Branco,Myrmotherula axillaris,1,1,0.393
Chupa-Dente,Conopophaga lineata,2,2,0.227
Cigarrinha-Do-Norte,Sporophila schistacea,1,1,0.22
Coleirinho,Sporophila caerulescens,1,1,0.204
Colhereiro,Platalea ajaja,1,1,0.215
Corruíra-Boreal,Troglodytes aedon,2,2,0.301
Curicaca,Theristicus caudatus,3,3,0.917
Curió,Sporophila angolensis,1,1,0.223
Cuspidor-De-Máscara-Preta,Conopophaga melanops,3,3,0.587
Filipe,Myiophobus fasciatus,4,4,0.723
Gavião-Carijó,Rupornis magnirostris,11,11,0.987
Gavião-Tesoura,Elanoides forficatus,1,1,0.367
Gavião-Urubu,Buteo albonotatus,1,1,0.271
Gaviãozinho,Gampsonyx swainsonii,2,2,0.687
Gravatazeiro,Rhopornis ardesiacus,1,1,0.233
Guaracava-De-Barriga-Amarela,Elaenia flavogaster,48,48,0.89
Guaracava-Modesta,Sublegatus modestus,7,7,0.766
Jacuguaçu,Penelope obscura,3,3,0.671
Jacurutu,Bubo virginianus,45,45,0.498
João-De-Barro,Furnarius rufus,19,19,0.97
João-Porca,Lochmias nematura,1,1,0.652
Juriti-Pupu,Leptotila verreauxi,2,2,0.356
Maria-Cavaleira,Myiarchus ferox,1,1,0.387
Mocho-Diabo,Asio stygius,1,1,0.251
Neinei,Megarynchus pitangua,2,2,0.274
Patativa,Sporophila plumbea,7,7,0.742
Peitica-De-Chapéu-Preto,Empidonomus aurantioatrocristatus,1,1,0.445
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,71,71,0.982
Petrim,Synallaxis frontalis,23,23,0.994
Pica-Pau-De-Topete-Vermelho,Campephilus melanoleucos,1,1,0.243
Picaparra,Heliornis fulica,1,1,0.213
Picapauzinho-Barrado,Picumnus cirratus,1,1,0.84
Picapauzinho-Escamoso,Picumnus albosquamatus,1,1,0.378
Picapauzinho-Pintado,Picumnus pygmaeus,2,2,0.373
Pipira-Vermelha,Ramphocelus carbo,2,2,0.401
Pitiguari,Cyclarhis gujanensis,4,4,0.777
Pula-Pula-Assobiador,Myiothlypis leucoblephara,1,1,0.747
Quero-Quero,Vanellus chilensis,26,26,0.96
Sabiá-Do-Banhado,Embernagra platensis,2,2,0.595
Sanhaço-Da-Amazônia,Thraupis episcopus,2,2,0.727
Sanhaço-Pardo,Orchesticus abeillei,1,1,0.382
Saracura-Do-Banhado,Pardirallus sanguinolentus,1,1,0.223
Saracura-Três-Potes,Aramides cajaneus,14,14,0.999
Saí-Canário,Thlypopsis sordida,2,2,0.357
Saíra-Amarela,Stilpnia cayana,24,24,0.942
Saíra-De-Bando,Tangara mexicana,1,1,0.219
Saíra-De-Papo-Preto,Hemithraupis guira,2,2,0.4
Saíra-Sete-Cores,Tangara seledon,1,1,0.213
Suiriri,Tyrannus melancholicus,34,34,0.882
Tapaculo-Preto,Scytalopus speluncae,1,1,0.415
Tem-Farinha-Aí,Myrmorchilus strigilatus,1,1,0.364
Teque-Teque,Todirostrum poliocephalum,1,1,0.271
Tico-Tico-De-Máscara-Negra,Coryphaspiza melanotis,1,1,0.21
Tico-Tico-Rei,Coryphospingus cucullatus,1,1,0.221
Tico-Tico-Rei-Cinza,Coryphospingus pileatus,7,7,0.561
Tiziu,Volatinia jacarina,27,27,0.995
Trepador-Quiete,Syndactyla rufosuperciliata,1,1,0.263
