Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Bacurau-De-Asa-Fina,Chordeiles acutipennis,4,4,0.9631350040435791
Baiano,Sporophila nigricollis,2,2,0.5738571882247925
Bem-Te-Vi,Pitangus sulphuratus,23,23,0.9921827912330627
Corruíra-Boreal,Troglodytes aedon,2,2,0.6188708543777466
Curica,Amazona amazonica,1,1,0.5569276213645935
Curicaca,Theristicus caudatus,12,12,0.9738457798957825
Guaracava-De-Barriga-Amarela,Elaenia flavogaster,1,1,0.6623592972755432
Guaracava-Modesta,Sublegatus modestus,3,3,0.8418095707893372
Irré,Myiarchus swainsoni,3,3,0.7759664058685303
Jacurutu,Bubo virginianus,32,32,0.9639222621917725
Martim-Pescador-Grande,Megaceryle torquata,4,4,0.9794792532920837
Mottled Owl,Ciccaba virgata,1,1,0.643386960029602
Papagaio-Verdadeiro,Amazona aestiva,3,3,0.8502026796340942
Periquitão,Psittacara leucophthalmus,1,1,0.4652037024497986
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,2,2,0.5431185960769653
Picaparra,Heliornis fulica,3,3,0.5784622430801392
Pintadinho,Drymophila squamata,1,1,0.4723096191883087
Pomba-Amargosa,Patagioenas plumbea,2,2,0.6799753308296204
Pomba-Asa-Branca,Patagioenas picazuro,2,2,0.6845625042915344
Pomba-Galega,Patagioenas cayennensis,1,1,0.5327714681625366
Pompeu,Hylopezus ochroleucus,1,1,0.5238269567489624
Quero-Quero,Vanellus chilensis,7,7,0.9425091743469238
Quiriquiri,Falco sparverius,2,2,0.5392720699310303
Rolinha-Cinzenta,Columbina passerina,1,1,0.5074790120124817
Russet-Crowned Crake,Anurolimnas viridis,1,1,0.5501842498779297
Saracura-Três-Potes,Aramides cajaneus,75,75,0.9961838126182556
Socó-Dorminhoco,Nycticorax nycticorax,4,4,0.9925035238265991
Suiriri-Cinzento,Suiriri suiriri,1,1,0.7707433104515076
Yellow-Headed Caracara,Milvago chimachima,1,1,0.9148263335227966
