Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Anhuma,Anhima cornuta,1,1,0.6898565292358398
Bacurau-De-Asa-Fina,Chordeiles acutipennis,1,1,0.93951016664505
Bacurau-Tesoura,Hydropsalis torquata,50,50,0.9374455809593201
Baiano,Sporophila nigricollis,12,12,0.9552682638168335
Bandoleta,Cypsnagra hirundinacea,2,2,0.9024476408958435
Biguatinga,Anhinga anhinga,1,1,0.6432148814201355
Black-Banded Owl,Ciccaba huhula,5,5,0.5435341000556946
Caburé,Glaucidium brasilianum,1,1,0.5750826001167297
Cigarra-Bambu,Haplospiza unicolor,1,1,0.5640466809272766
Coró-Coró,Mesembrinibis cayennensis,2,2,0.887211799621582
Corujinha-Do-Mato,Megascops choliba,1,1,0.4768278896808624
Curicaca,Theristicus caudatus,6,6,0.9780266284942627
Curió,Sporophila angolensis,8,8,0.9348562359809875
Gaviãozinho,Gampsonyx swainsonii,1,1,0.5055499076843262
Jacurutu,Bubo virginianus,171,171,0.9185007810592651
João-Bobo,Nystalus chacuru,1,1,0.6074199080467224
Maçarico-Grande-De-Perna-Amarela,Tringa melanoleuca,1,1,0.6097331643104553
Mocho-Diabo,Asio stygius,1,1,0.47050249576568604
Mottled Owl,Ciccaba virgata,1,1,0.45188117027282715
Papagaio-De-Peito-Roxo,Amazona vinacea,1,1,0.4642573595046997
Papagaio-Verdadeiro,Amazona aestiva,3,3,0.794343113899231
Patativa,Sporophila plumbea,40,40,0.9139689207077026
Periquitão,Psittacara leucophthalmus,3,3,0.6314389705657959
Pia-Cobra-Do-Norte,Geothlypis aequinoctialis,41,41,0.9190698862075806
Pipira-Vermelha,Ramphocelus carbo,2,2,0.7104154229164124
Pula-Pula,Basileuterus culicivorus,1,1,0.6504053473472595
Quero-Quero,Vanellus chilensis,2,2,0.8916037082672119
Sabiá-Do-Campo,Mimus saturninus,3,3,0.6916975378990173
Saí-Andorinha,Tersina viridis,2,2,0.5801504254341125
Saíra-De-Papo-Preto,Hemithraupis guira,1,1,0.4679596722126007
Socó-Dorminhoco,Nycticorax nycticorax,2,2,0.9394751191139221
Tapaculo-Pintado,Psilorhamphus guttatus,1,1,0.46554386615753174
Tico-Tico-Do-Campo,Ammodramus humeralis,73,73,0.8890776634216309
Tico-Tico-Rei,Coryphospingus cucullatus,1,1,0.4888722002506256
Tiziu,Volatinia jacarina,705,705,0.9968085885047913
Yellow-Headed Caracara,Milvago chimachima,1,1,0.8006270527839661
