Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Bacurau-Norte-Americano,Chordeiles minor,1,1,0.6034559011459351
Bem-Te-Vi,Pitangus sulphuratus,85,85,0.9533907175064087
Bigodinho,Sporophila lineola,1,1,0.47435125708580017
Cambacica,Coereba flaveola,2,2,0.6087356805801392
Corruíra-Boreal,Troglodytes aedon,1,1,0.813299298286438
Coruja-Listrada,Strix hylophila,15,15,0.7779598236083984
Coruja-Orelhuda,Asio clamator,1,1,0.47045156359672546
Garrinchão-De-Bico-Grande,Cantorchilus longirostris,1,1,0.6914602518081665
Gavião-Carijó,Rupornis magnirostris,6,6,0.925066351890564
Gavião-De-Rabo-Branco,Geranoaetus albicaudatus,1,1,0.5226710438728333
Guaracava-De-Barriga-Amarela,Elaenia flavogaster,11,11,0.9387843608856201
Jacurutu,Bubo virginianus,12,12,0.7430313229560852
Maçarico-De-Perna-Amarela,Tringa flavipes,1,1,0.5258125066757202
Maria-Cavaleira-De-Rabo-Enferrujado,Myiarchus tyrannulus,2,2,0.5679782629013062
Maria-Cavaleira-Pequena,Myiarchus tuberculifer,1,1,0.5277799367904663
Neinei,Megarynchus pitangua,4,4,0.904634416103363
Pardal,Passer domesticus,1,1,0.5493155121803284
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,23,23,0.9960677623748779
Petrim,Synallaxis frontalis,7,7,0.9954059720039368
Pica-Pau-Branco,Melanerpes candidus,2,2,0.7661898732185364
Quiriquiri,Falco sparverius,1,1,0.6846500039100647
Risadinha,Camptostoma obsoletum,2,2,0.9891371726989746
Sabiá-Do-Campo,Mimus saturninus,1,1,0.5747190117835999
Sabiá-Poca,Turdus amaurochalinus,2,2,0.7027319073677063
Saracura-Três-Potes,Aramides cajaneus,6,6,0.995642900466919
Suiriri,Tyrannus melancholicus,16,16,0.8850359320640564
Tesourinha/Tesourinha-Do-Norte,Tyrannus savana,36,36,0.9612689018249512
Urutau,Nyctibius griseus,1,1,0.500464141368866
