Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Coruja-Listrada,Strix hylophila,415,415,0.8773838877677917
Guaracava-De-Barriga-Amarela,Elaenia flavogaster,160,160,0.9982481002807617
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,150,150,0.9833816289901733
Bem-Te-Vi,Pitangus sulphuratus,150,150,0.9743330478668213
Quero-Quero,Vanellus chilensis,59,59,0.9773281812667847
Cambacica,Coereba flaveola,56,56,0.9757463932037354
Jacurutu,Bubo virginianus,56,56,0.9732035398483276
João-De-Barro,Furnarius rufus,42,42,0.9955541491508484
Corruíra-Boreal,Troglodytes aedon,41,41,0.9698291420936584
Risadinha,Camptostoma obsoletum,32,32,0.9546665549278259
Fim-Fim,Euphonia chlorotica,19,19,0.8684090375900269
Black-Banded Owl,Ciccaba huhula,16,16,0.6834531426429749
Saracura-Três-Potes,Aramides cajaneus,15,15,0.9640605449676514
Tico-Tico-Rei,Coryphospingus cucullatus,14,14,0.7764520049095154
Saíra-Amarela,Stilpnia cayana,13,13,0.9808725118637085
Trepador-Quiete,Syndactyla rufosuperciliata,10,10,0.9818511605262756
Martim-Pescador-Grande,Megaceryle torquata,10,10,0.8282172679901123
Periquito-Rico,Brotogeris tirica,8,8,0.9298083186149597
Maçarico-Pintado,Actitis macularius,8,8,0.776004433631897
Socó-Dorminhoco,Nycticorax nycticorax,8,8,0.9253730177879333
Tesourinha/Tesourinha-Do-Norte,Tyrannus savana,8,8,0.9871827363967896
Sanhaço-Cinzento,Thraupis sayaca,7,7,0.778511643409729
Cabecinha-Castanha,Thlypopsis pyrrhocoma,7,7,0.6734642386436462
Caburé-Acanelado,Aegolius harrisii,6,6,0.5872371196746826
Suiriri,Tyrannus melancholicus,6,6,0.9505103826522827
Sanhaço-Da-Amazônia,Thraupis episcopus,6,6,0.6770826578140259
Guaracava-De-Topete-Uniforme,Elaenia cristata,5,5,0.7321954965591431
Picapauzinho-Barrado,Picumnus cirratus,4,4,0.7221882343292236
Bigodinho,Sporophila lineola,4,4,0.7575924396514893
Guaracava-Modesta,Sublegatus modestus,3,3,0.6993509531021118
Bico-De-Lacre,Estrilda astrild,3,3,0.6483760476112366
Bacurau-Norte-Americano,Chordeiles minor,3,3,0.5345630645751953
Sabiá-Laranjeira,Turdus rufiventris,3,3,0.8119658827781677
Picapauzinho-Pintado,Picumnus pygmaeus,3,3,0.720345139503479
Maracanã-Pequena,Diopsittaca nobilis,3,3,0.9497699737548828
Coruja-Das-Torres,Tyto alba,2,2,0.763214647769928
Maria-Cavaleira,Myiarchus ferox,2,2,0.9527046084403992
Quiriquiri,Falco sparverius,2,2,0.783865749835968
Gavião-Carijó,Rupornis magnirostris,2,2,0.9305548667907715
Choca-Da-Mata,Thamnophilus caerulescens,2,2,0.582054615020752
Saíra-De-Chapéu-Preto,Nemosia pileata,2,2,0.529255211353302
Enferrujado,Lathrotriccus euleri,2,2,0.5183995366096497
Sanhaço-Frade,Stephanophorus diadematus,2,2,0.8404988050460815
Sabiá-Do-Banhado,Embernagra platensis,2,2,0.6462346911430359
Pitiguari,Cyclarhis gujanensis,2,2,0.458482563495636
Caboclinho-De-Papo-Branco,Sporophila palustris,1,1,0.6370221972465515
Guaracavuçu,Cnemotriccus fuscatus,1,1,0.5299289226531982
Andorinha-Do-Campo,Progne tapera,1,1,0.5185829401016235
Pintadinho,Drymophila squamata,1,1,0.8207342028617859
Saíra-De-Papo-Preto,Hemithraupis guira,1,1,0.6412196755409241
Beija-Flor-Tesoura,Eupetomena macroura,1,1,0.7904987931251526
Choquinha-De-Garganta-Pintada,Rhopias gularis,1,1,0.5738387107849121
Sanhaço-Do-Coqueiro,Thraupis palmarum,1,1,0.4674364924430847
Saíra-Sapucaia,Stilpnia peruviana,1,1,0.6292437314987183
Jaó,Crypturellus undulatus,1,1,0.6138284206390381
Pica-Pau-Branco,Melanerpes candidus,1,1,0.7158995866775513
Gaviãozinho,Gampsonyx swainsonii,1,1,0.5925909280776978
Sabiazinho-Norte-Americano,Catharus fuscescens,1,1,0.5377246141433716
Neinei,Megarynchus pitangua,1,1,0.49366840720176697
Chupim,Molothrus bonariensis,1,1,0.9507744908332825
Borralhara-Assobiadora,Mackenziaena leachii,1,1,0.4688211679458618
Filipe,Myiophobus fasciatus,1,1,0.5676406621932983
Tiê-Preto,Tachyphonus coronatus,1,1,0.6336768865585327
Acauã,Herpetotheres cachinnans,1,1,0.5900982022285461
Águia-Pescadora,Pandion haliaetus,1,1,0.7265840768814087
