Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Bem-Te-Vi,Pitangus sulphuratus,17,17,0.8245018720626831
Cambacica,Coereba flaveola,65,65,0.965124249458313
Cigarra-Preta,Asemospiza fuliginosa,1,1,0.5852491855621338
Ferreirinho-Relógio,Todirostrum cinereum,14,14,0.9858619570732117
Guaracava-De-Barriga-Amarela,Elaenia flavogaster,1,1,0.5537182092666626
Jacurutu,Bubo virginianus,9,9,0.9133175611495972
Maçarico-Pintado,Actitis macularius,1,1,0.611165463924408
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,1,1,0.5465474128723145
Petrim,Synallaxis frontalis,44,44,0.9901484847068787
Pica-Pau-Verde-Barrado,Colaptes melanochloros,1,1,0.9580212831497192
Pitiguari,Cyclarhis gujanensis,4,4,0.599636435508728
Quero-Quero,Vanellus chilensis,1,1,0.5360340476036072
Sabiá-Laranjeira,Turdus rufiventris,2,2,0.5516130328178406
Sanhaço-De-Encontro-Azul,Thraupis cyanoptera,1,1,0.5382612943649292
Saracura-Três-Potes,Aramides cajaneus,35,35,0.9996380805969238
Suiriri,Tyrannus melancholicus,3,3,0.883127748966217
Tiziu,Volatinia jacarina,1,1,0.6712365746498108
Urutau,Nyctibius griseus,3,3,0.5043146014213562
