Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Tiziu,Volatinia jacarina,1630,1630,0.9982828497886658
Baiano,Sporophila nigricollis,382,382,0.9652730226516724
Caburé-Acanelado,Aegolius harrisii,183,183,0.8207371234893799
Quero-Quero,Vanellus chilensis,145,145,0.9983224272727966
Bem-Te-Vi,Pitangus sulphuratus,111,111,0.9944013357162476
Black-Banded Owl,Ciccaba huhula,111,111,0.6665529012680054
Guaracava-De-Barriga-Amarela,Elaenia flavogaster,76,76,0.9835011959075928
Uru,Odontophorus capueira,33,33,0.983140766620636
Jaó,Crypturellus undulatus,30,30,0.7258212566375732
Cabecinha-Castanha,Thlypopsis pyrrhocoma,29,29,0.8887518644332886
Martim-Pescador-Grande,Megaceryle torquata,25,25,0.9923613667488098
Gaviãozinho,Gampsonyx swainsonii,23,23,0.9245892763137817
Tico-Tico-Rei,Coryphospingus cucullatus,23,23,0.8039981722831726
Risadinha,Camptostoma obsoletum,20,20,0.9755750894546509
Corruíra-Boreal,Troglodytes aedon,20,20,0.7649826407432556
Curicaca,Theristicus caudatus,17,17,0.974083423614502
Jacurutu,Bubo virginianus,15,15,0.9559057354927063
Petrim,Synallaxis frontalis,13,13,0.9903379678726196
Cambacica,Coereba flaveola,12,12,0.8203492164611816
Balança-Rabo-De-Máscara,Polioptila dumicola,11,11,0.8489308953285217
Urutau,Nyctibius griseus,11,11,0.8177779912948608
Socó-Dorminhoco,Nycticorax nycticorax,11,11,0.9797583818435669
João-De-Barro,Furnarius rufus,9,9,0.8923577070236206
Gavião-Carijó,Rupornis magnirostris,9,9,0.9882559180259705
Narcejão,Gallinago undulata,9,9,0.6721315979957581
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,9,9,0.903040885925293
Arapaçu-Grande,Dendrocolaptes platyrostris,7,7,0.9690292477607727
Coleirinho,Sporophila caerulescens,7,7,0.947584867477417
Periquitão,Psittacara leucophthalmus,4,4,0.6014741063117981
Uirapuru-Laranja,Pipra fasciicauda,4,4,0.6173716187477112
Yellow-Headed Caracara,Milvago chimachima,4,4,0.9955853223800659
Saracura-Três-Potes,Aramides cajaneus,4,4,0.9811005592346191
Saíra-Amarela,Stilpnia cayana,3,3,0.6913735866546631
Coró-Coró,Mesembrinibis cayennensis,3,3,0.8532218933105469
Bacurau-Norte-Americano,Chordeiles minor,3,3,0.895263671875
Borralhara-Assobiadora,Mackenziaena leachii,3,3,0.8720872402191162
Maçarico-Pintado,Actitis macularius,3,3,0.5654674172401428
Caneleiro-Preto,Pachyramphus polychopterus,3,3,0.7947315573692322
Papagaio-Verdadeiro,Amazona aestiva,3,3,0.8969324827194214
Caboclinho-De-Papo-Branco,Sporophila palustris,3,3,0.7552993893623352
Pomba-Asa-Branca,Patagioenas picazuro,2,2,0.76523756980896
Pomba-Galega,Patagioenas cayennensis,2,2,0.6753747463226318
João-Botina-Do-Brejo,Phacellodomus ferrugineigula,2,2,0.9622015953063965
Canário-Do-Mato,Myiothlypis flaveola,2,2,0.6151154041290283
Maracanã-Do-Buriti,Orthopsittaca manilatus,2,2,0.6229726672172546
Canário-Do-Campo,Emberizoides herbicola,2,2,0.5909385681152344
Sanhaço-Frade,Stephanophorus diadematus,2,2,0.4698094129562378
Bico-De-Lacre,Estrilda astrild,2,2,0.8259150385856628
Cigarra-Bambu,Haplospiza unicolor,2,2,0.8920816779136658
Guaracava-Modesta,Sublegatus modestus,2,2,0.5216401815414429
Juriti-Pupu,Leptotila verreauxi,1,1,0.515514612197876
Pardal,Passer domesticus,1,1,0.4542539119720459
Guaracava-De-Crista-Alaranjada,Myiopagis viridicata,1,1,0.5840315222740173
Rolinha-Roxa,Columbina talpacoti,1,1,0.5404936075210571
Spot-Tailed Nightjar,Hydropsalis maculicaudus,1,1,0.4720982313156128
Bacurau,Nyctidromus albicollis,1,1,0.5349736213684082
Choca-De-Chapéu-Vermelho,Thamnophilus ruficapillus,1,1,0.5040611028671265
Pichororé,Synallaxis ruficapilla,1,1,0.6754732728004456
Bigodinho,Sporophila lineola,1,1,0.7216506600379944
Curió,Sporophila angolensis,1,1,0.4754196107387543
Estalador,Corythopis delalandi,1,1,0.47365444898605347
Rolinha-Cinzenta,Columbina passerina,1,1,0.790482759475708
Mottled Owl,Ciccaba virgata,1,1,0.48088279366493225
Bacurau-Tesoura,Hydropsalis torquata,1,1,0.4789173901081085
Choca-Da-Mata,Thamnophilus caerulescens,1,1,0.6291526556015015
Coruja-Listrada,Strix hylophila,1,1,0.7406648397445679
Coruja-Das-Torres,Tyto alba,1,1,0.4843423366546631
Pula-Pula-Assobiador,Myiothlypis leucoblephara,1,1,0.45564621686935425
Arapaçu-Bico-De-Cunha,Glyphorynchus spirurus,1,1,0.5095862150192261
Sanhaço-De-Coleira,Schistochlamys melanopis,1,1,0.6039512157440186
Pica-Pau-Rei,Campephilus robustus,1,1,0.6881480813026428
Canário-Rasteiro,Sicalis citrina,1,1,0.49723362922668457
Arara-Canindé,Ara ararauna,1,1,0.5273613333702087
Guaracava-Grande,Elaenia spectabilis,1,1,0.6520335674285889
Saí-Andorinha,Tersina viridis,1,1,0.9205437898635864
Murucututu-De-Barriga-Amarela,Pulsatrix koeniswaldiana,1,1,0.5683902502059937
Maracanã-Pequena,Diopsittaca nobilis,1,1,0.47255194187164307
Barulhento,Euscarthmus meloryphus,1,1,0.45034486055374146
Águia-Pescadora,Pandion haliaetus,1,1,0.6482517123222351
Tico-Tico-De-Bico-Preto,Arremon taciturnus,1,1,0.4513109028339386
Tiê-Preto,Tachyphonus coronatus,1,1,0.6691285967826843
Quiriquiri,Falco sparverius,1,1,0.8606870174407959
Fim-Fim,Euphonia chlorotica,1,1,0.4869730770587921
Tico-Tico-De-Máscara-Negra,Coryphaspiza melanotis,1,1,0.8676842451095581
Cigarra-Preta,Asemospiza fuliginosa,1,1,0.4956550598144531
Limpa-Folha-Do-Brejo,Syndactyla dimidiata,1,1,0.6252661347389221
