Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Andorinha-Pequena-De-Casa,Pygochelidon cyanoleuca,1,1,0.275
Anu-Coroca,Crotophaga major,1,1,0.312
Arara-Canindé,Ara ararauna,11,11,0.891
Aratinga-De-Testa-Azul,Thectocercus acuticaudatus,1,1,0.3
Bacurau-De-Asa-Fina,Chordeiles acutipennis,4,4,0.801
Bacurau-De-Cauda-Barrada,Nyctiprogne leucopyga,1,1,0.27
Balança-Rabo-De-Chapéu-Preto/De-Roraima/Do-Acre/Do-Nordeste,Polioptila plumbea,3,3,0.618
Balança-Rabo-De-Máscara,Polioptila dumicola,1,1,0.473
Beija-Flor-De-Papo-Branco,Leucochloris albicollis,1,1,0.204
Beija-Flor-Preto,Florisuga fusca,1,1,0.409
Bem-Te-Vi,Pitangus sulphuratus,88,88,0.972
Bentevizinho-De-Penacho-Vermelho,Myiozetetes similis,1,1,0.219
Bico-Chato-De-Orelha-Preta,Tolmomyias sulphurescens,3,3,0.272
Bico-De-Lacre,Estrilda astrild,1,1,0.224
Black-Banded Owl,Ciccaba huhula,84,84,0.462
Cambacica,Coereba flaveola,1,1,0.624
Canário-Do-Campo,Emberizoides herbicola,1,1,0.212
Cara-Dourada,Phylloscartes roquettei,1,1,0.272
Cattle Egret,Bubulcus ibis,2,2,0.369
Chirito,Ramphocaenus melanurus,1,1,0.26
Cigarra-Bambu,Haplospiza unicolor,1,1,0.317
Corruíra-Boreal,Troglodytes aedon,1,1,0.372
Coruja-Das-Torres,Tyto alba,1,1,0.205
Coruja-Orelhuda,Asio clamator,3,3,0.245
Corujinha-Do-Mato,Megascops choliba,1,1,0.251
Filipe,Myiophobus fasciatus,26,26,0.998
Flautim,Schiffornis virescens,1,1,0.204
Galinha-Do-Mato,Formicarius colma,1,1,0.418
Garça-Branca-Grande,Ardea alba,1,1,0.428
Gavião-Carijó,Rupornis magnirostris,2,2,0.977
Gavião-De-Rabo-Branco,Geranoaetus albicaudatus,1,1,0.41
Gavião-De-Sobre-Branco,Parabuteo leucorrhous,1,1,0.228
Gavião-Urubu,Buteo albonotatus,2,2,0.323
Guaracava-De-Barriga-Amarela,Elaenia flavogaster,2,2,0.373
Guaracava-De-Topete-Uniforme,Elaenia cristata,2,2,0.568
Jacurutu,Bubo virginianus,145,145,0.974
João-De-Barro,Furnarius rufus,1,1,0.31
Juriti-Pupu,Leptotila verreauxi,2,2,0.497
Maria-Cavaleira,Myiarchus ferox,2,2,0.468
Maçarico-Pintado,Actitis macularius,4,4,0.593
Narcejão,Gallinago undulata,5,5,0.355
Neinei,Megarynchus pitangua,9,9,0.995
Olho-Falso,Hemitriccus diops,20,20,0.673
Papa-Lagarta-De-Asa-Vermelha,Coccyzus americanus,4,4,0.81
Papa-Moscas-Canela,Polystictus pectoralis,6,6,0.278
Papagaio-De-Peito-Roxo,Amazona vinacea,1,1,0.517
Papagaio-Verdadeiro,Amazona aestiva,2,2,0.578
Patativa,Sporophila plumbea,1,1,0.483
Patinho,Platyrinchus mystaceus,8,8,0.777
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,62,62,0.952
Petrim,Synallaxis frontalis,1,1,0.278
Pica-Pau-Branco,Melanerpes candidus,1,1,0.902
Picapauzinho-Barrado,Picumnus cirratus,1,1,0.21
Pitiguari,Cyclarhis gujanensis,1,1,0.451
Pompeu,Hylopezus ochroleucus,48,48,0.433
Pula-Pula-Ribeirinho/Pula-Pula-Da-Guiana,Myiothlypis rivularis,1,1,0.219
Quero-Quero,Vanellus chilensis,1,1,0.486
Quiriquiri,Falco sparverius,5,5,0.524
Risadinha,Camptostoma obsoletum,1,1,0.279
Sabiá-Barranco,Turdus leucomelas,4,4,0.958
Sabiá-Laranjeira,Turdus rufiventris,1,1,0.489
Saracura-Sanã,Pardirallus nigricans,2,2,0.721
Saracura-Três-Potes,Aramides cajaneus,58,58,0.999
Saí-Azul,Dacnis cayana,2,2,0.253
Saíra-Amarela,Stilpnia cayana,5,5,0.768
Saíra-Beija-Flor,Cyanerpes cyaneus,1,1,0.31
Saíra-De-Chapéu-Preto,Nemosia pileata,2,2,0.281
Saíra-De-Papo-Preto,Hemithraupis guira,12,12,0.92
Saíra-Ferrugem,Hemithraupis ruficapilla,1,1,0.64
Sebinho-De-Olho-De-Ouro,Hemitriccus margaritaceiventer,1,1,0.446
Socó-Dorminhoco,Nycticorax nycticorax,2,2,0.258
Suiriri,Tyrannus melancholicus,105,105,0.989
Tico-Tico-De-Bico-Preto,Arremon taciturnus,1,1,0.315
Tico-Tico-Rei,Coryphospingus cucullatus,1,1,0.527
Tico-Tico-Rei-Cinza,Coryphospingus pileatus,5,5,0.428
Tiê-De-Bando/Do-Mato-Grosso,Habia rubica,1,1,0.216
Urubuzinho,Chelidoptera tenebrosa,1,1,0.234
Urutau,Nyctibius griseus,3,3,0.915
Águia-Pescadora,Pandion haliaetus,1,1,0.287
